rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
419,large_file,8812,115,rare,15,10330,13301,43.71376581608904
420,large_file,8824,123,rare,15,10345,13286,43.777241758706786
421,large_file,8995,125,rare,15,10360,13271,43.84071770132453
422,large_file,9025,113,rare,15,10375,13256,43.90419364394228
423,large_file,9030,118,rare,15,10390,13241,43.96766958656003
424,large_file,9165,112,rare,15,10405,13226,44.03114552917778
425,large_file,9587,109,rare,15,10420,13211,44.09462147179552
426,large_file,10053,79,rare,15,10435,13196,44.15809741441327
427,large_file,11576,95,rare,15,10450,13181,44.22157335703102
428,large_file,11700,96,rare,15,10465,13166,44.28504929964877
429,large_file,12399,92,rare,15,10480,13151,44.34852524226651
430,large_file,12451,89,rare,15,10495,13136,44.41200118488426
431,large_file,13139,75,rare,15,10510,13121,44.47547712750201
432,large_file,13285,75,rare,15,10525,13106,44.53895307011976
433,large_file,14513,75,rare,15,10540,13091,44.6024290127375
434,large_file,15168,79,rare,15,10555,13076,44.66590495535525
435,large_file,15196,72,rare,15,10570,13061,44.729380897973
436,large_file,15236,77,rare,15,10585,13046,44.79285684059075
437,large_file,15253,76,rare,15,10600,13031,44.8563327832085
438,large_file,15354,83,rare,15,10615,13016,44.91980872582624
439,large_file,15403,77,rare,15,10630,13001,44.98328466844399
440,large_file,15442,75,rare,15,10645,12986,45.04676061106174
441,large_file,15456,79,rare,15,10660,12971,45.11023655367949
442,large_file,15735,76,rare,15,10675,12956,45.173712496297235
443,large_file,15850,76,rare,15,10690,12941,45.237188438914984
444,large_file,15894,78,rare,15,10705,12926,45.300664381532734
445,large_file,16211,85,rare,15,10720,12911,45.36414032415048
446,large_file,803,74,rare,15,10735,12896,45.427616266768226
447,large_file,4035,88,rare,15,10750,12881,45.491092209385975
448,large_file,4071,88,rare,15,10765,12866,45.554568152003725
449,large_file,4079,86,rare,14,10779,12852,45.613812365113624
450,large_file,4100,86,rare,14,10793,12838,45.67305657822352
451,large_file,4136,85,rare,14,10807,12824,45.732300791333415
452,large_file,4141,83,rare,14,10821,12810,45.791545004443314
453,large_file,4150,80,rare,14,10835,12796,45.85078921755321
454,large_file,4213,73,rare,14,10849,12782,45.91003343066311
455,large_file,4217,84,rare,14,10863,12768,45.96927764377301
456,large_file,4353,88,rare,14,10877,12754,46.02852185688291
457,large_file,4360,84,rare,14,10891,12740,46.0877660699928
