rank,source,source_idx,n_envs
1061,phase2,9981,108
1062,phase2,10367,116
1063,phase2,11822,86
1064,phase2,15696,89
1065,phase2,16442,93
1066,probe,170,78
1067,probe,250,80
1068,probe,271,113
1069,probe,304,73
1070,probe,305,119
1071,probe,323,73
1072,probe,365,109
1073,probe,405,81
1074,probe,431,74
1075,probe,453,73
1076,probe,581,76
1077,probe,623,84
1078,probe,642,104
1079,probe,685,80
1080,probe,686,71
1081,probe,698,81
1082,probe,699,83
1083,probe,703,85
1084,probe,711,88
1085,probe,759,76
1086,probe,760,76
1087,probe,765,83
1088,probe,767,80
1089,probe,788,73
1090,probe,793,78
1091,probe,807,77
1092,probe,816,112
1093,probe,861,77
1094,probe,897,83
1095,probe,905,83
1096,probe,912,80
1097,probe,918,85
1098,probe,977,77
1099,probe,1022,102
1100,probe,1027,110
1101,probe,1059,80
1102,probe,1069,89
1103,probe,1099,74
1104,probe,1196,75
1105,probe,1220,92
1106,probe,1223,91
1107,probe,1242,74
1108,probe,1291,83
1109,probe,1387,92
1110,probe,1409,89
1111,probe,1554,105
1112,probe,1571,107
1113,probe,1649,91
1114,probe,1694,75
1115,probe,1739,75
1116,probe,1895,110
1117,probe,1909,119
1118,probe,1916,102
1119,probe,2019,76
1120,probe,2026,68
1121,probe,2293,109
1122,probe,2333,114
1123,probe,2354,104
1124,probe,2514,80
1125,probe,2519,79
1126,probe,2941,87
1127,probe,2944,80
1128,probe,3162,73
1129,probe,3166,76
1130,probe,3188,103
1131,probe,3352,74
1132,probe,3361,71
1133,phase2,2703,76
1134,phase2,3935,89
1135,phase2,3937,89
1136,phase2,6121,91
1137,phase2,16894,88
1138,phase2,18397,109
1139,probe,203,80
1140,probe,253,76
1141,probe,301,92
1142,probe,334,77
1143,probe,349,71
1144,probe,408,82
1145,probe,457,90
1146,probe,458,91
1147,probe,459,74
1148,probe,479,92
1149,probe,586,83
1150,probe,595,83
1151,probe,601,71
1152,probe,630,87
1153,probe,665,71
1154,probe,670,96
1155,probe,704,78
1156,probe,728,103
1157,probe,741,103
1158,probe,748,74
1159,probe,772,81
1160,probe,795,85
1161,probe,823,105
1162,probe,849,76
1163,probe,975,76
1164,probe,995,69
1165,probe,1096,82
1166,probe,1155,82
1167,probe,1163,105
1168,probe,1168,88
1169,probe,1175,98
1170,probe,1180,111
1171,probe,1203,82
1172,probe,1253,83
1173,probe,1306,82
1174,probe,1328,108
1175,probe,1406,93
1176,probe,1413,95
1177,probe,1454,75
1178,probe,1457,83
1179,probe,1459,77
1180,probe,1580,104
1181,probe,1610,107
1182,probe,1658,89
1183,probe,1664,91
1184,probe,1870,103
1185,probe,1884,110
1186,probe,1897,98
1187,probe,1940,95
1188,probe,1942,77
1189,probe,1967,94
1190,probe,1975,89
1191,probe,2005,76
1192,probe,2009,80
1193,probe,2430,75
1194,probe,2462,92
1195,probe,2508,82
1196,probe,2543,72
1197,probe,2995,97
1198,probe,3005,101
1199,probe,3028,103
1200,probe,3100,103
1201,probe,3192,80
1202,probe,3271,93
1203,probe,3296,95
1204,probe,3362,79
1205,phase2,1433,92
1206,phase2,1635,81
1207,phase2,6291,91
1208,phase2,11744,86
1209,phase2,14175,76
1210,phase2,14282,89
1211,phase2,17629,74
1212,phase2,18258,88
1213,probe,138,91
1214,probe,219,125
1215,probe,287,78
1216,probe,288,77
1217,probe,320,82
1218,probe,325,89
1219,probe,328,85
1220,probe,352,78
1221,probe,357,83
1222,probe,399,81
1223,probe,403,70
1224,probe,449,85
1225,probe,450,81
1226,probe,508,74
1227,probe,520,81
1228,probe,545,71
1229,probe,584,81
1230,probe,589,82
1231,probe,645,105
1232,probe,659,84
1233,probe,682,73
1234,probe,687,75
1235,probe,743,82
1236,probe,768,74
1237,probe,769,77
1238,probe,771,78
1239,probe,774,76
1240,probe,791,81
1241,probe,792,84
1242,probe,797,81
1243,probe,821,98
1244,probe,829,75
1245,probe,855,76
1246,probe,877,70
1247,probe,885,76
1248,probe,935,106
1249,probe,946,74
1250,probe,952,114
1251,probe,1001,87
1252,probe,1009,87
1253,probe,1056,77
1254,probe,1243,76
1255,probe,1264,75
1256,probe,1336,108
1257,probe,1372,100
1258,probe,1381,78
1259,probe,1441,69
1260,probe,1562,103
1261,probe,1669,93
1262,probe,1686,72
1263,probe,1698,70
1264,probe,1727,79
1265,probe,1873,106
1266,probe,1877,106
1267,probe,1976,95
1268,probe,2035,76
1269,probe,2036,72
1270,probe,2321,102
1271,probe,2355,111
1272,probe,2372,109
1273,probe,2440,94
1274,probe,2447,90
1275,probe,2517,73
1276,probe,2532,72
1277,probe,2617,83
1278,probe,3023,94
1279,probe,3037,103
1280,probe,3110,103
1281,probe,3275,93
1282,probe,3367,76
1283,probe,3368,76
1284,probe,3442,72
1285,phase2,774,71
1286,phase2,1544,86
1287,phase2,3777,87
1288,phase2,6146,84
1289,phase2,8874,84
1290,phase2,18241,110
1291,probe,176,89
1292,probe,292,74
1293,probe,296,83
1294,probe,391,72
1295,probe,467,105
1296,probe,495,80
1297,probe,511,82
1298,probe,517,87
1299,probe,548,69
1300,probe,549,84
1301,probe,574,101
1302,probe,597,75
1303,probe,622,69
1304,probe,641,74
1305,probe,747,101
1306,probe,782,77
1307,probe,785,76
1308,probe,790,79
1309,probe,841,89
1310,probe,899,72
1311,probe,911,81
1312,probe,921,80
1313,probe,937,103
1314,probe,950,73
1315,probe,954,91
1316,probe,1011,89
1317,probe,1057,77
1318,probe,1126,85
1319,probe,1128,82
1320,probe,1154,83
1321,probe,1225,91
1322,probe,1279,78
1323,probe,1281,82
1324,probe,1283,82
1325,probe,1341,100
1326,probe,1345,106
1327,probe,1379,70
1328,probe,1392,119
1329,probe,1396,73
1330,probe,1463,71
1331,probe,1480,79
1332,probe,1586,113
1333,probe,1634,98
1334,probe,1731,72
1335,probe,1874,110
1336,probe,1883,94
1337,probe,1936,80
1338,probe,1945,67
1339,probe,1964,92
1340,probe,2022,75
1341,probe,2095,74
1342,probe,2100,82
1343,probe,2287,98
1344,probe,2308,110
1345,probe,2310,110
1346,probe,2343,117
1347,probe,2442,84
1348,probe,2531,72
1349,probe,2574,72
1350,probe,2769,81
1351,probe,2772,80
1352,probe,2947,84
1353,probe,3125,97
1354,probe,3274,94
1355,probe,3364,83
1356,probe,3392,68
1357,probe,3398,81
1358,probe,3552,77
1359,probe,3563,106
1360,phase2,1003,84
