rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
312,large_file,11295,91,rare,11,6467,6036,51.723586339278576
313,large_file,11435,104,rare,11,6478,6025,51.811565224346154
314,large_file,11539,123,rare,11,6489,6014,51.89954410941374
315,large_file,12187,84,rare,11,6500,6003,51.987522994481324
316,large_file,13182,78,rare,11,6511,5992,52.07550187954891
317,large_file,13354,83,rare,11,6522,5981,52.163480764616494
318,large_file,14180,87,rare,11,6533,5970,52.25145964968407
319,large_file,15345,126,rare,11,6544,5959,52.33943853475166
320,large_file,16235,87,rare,11,6555,5948,52.42741741981924
321,large_file,18241,110,rare,11,6566,5937,52.51539630488683
322,large_file,18477,75,rare,11,6577,5926,52.60337518995441
323,large_file,18769,88,rare,11,6588,5915,52.691354075022
324,large_file,18979,79,rare,11,6599,5904,52.779332960089576
325,large_file,19601,105,rare,11,6610,5893,52.86731184515716
326,large_file,1168,74,rare,10,6620,5883,52.94729264976406
327,large_file,1390,130,rare,10,6630,5873,53.02727345437095
328,large_file,1760,110,rare,10,6640,5863,53.10725425897785
329,large_file,1943,88,rare,10,6650,5853,53.18723506358474
330,large_file,2141,89,rare,10,6660,5843,53.267215868191634
331,large_file,2256,79,rare,10,6670,5833,53.34719667279853
332,large_file,3704,38,rare,10,6680,5823,53.42717747740542
333,large_file,3945,122,rare,10,6690,5813,53.50715828201232
334,large_file,4301,87,rare,10,6700,5803,53.58713908661921
335,large_file,4744,75,rare,10,6710,5793,53.66711989122611
336,large_file,4866,85,rare,10,6720,5783,53.747100695833
337,large_file,5240,121,rare,10,6730,5773,53.827081500439895
338,large_file,5338,107,rare,10,6740,5763,53.907062305046786
339,large_file,5484,106,rare,10,6750,5753,53.98704310965368
340,large_file,5580,100,rare,10,6760,5743,54.06702391426058
341,large_file,6181,109,rare,10,6770,5733,54.14700471886747
342,large_file,6339,88,rare,10,6780,5723,54.22698552347437
343,large_file,6723,108,rare,10,6790,5713,54.30696632808126
344,large_file,7609,92,rare,10,6800,5703,54.38694713268816
345,large_file,8893,108,rare,10,6810,5693,54.46692793729505
